algorithm,environment,n_seeds,final_success_rate_mean,final_success_rate_std,final_success_rate_ci95,learning_curve_auc_mean,learning_curve_auc_std,learning_curve_auc_ci95,rolling_auc_mean,rolling_auc_std,rolling_auc_ci95,normalized_rolling_auc_mean,normalized_rolling_auc_std,normalized_rolling_auc_ci95,avg_training_return_mean,avg_training_return_std,avg_training_return_ci95,avg_training_length_mean,avg_training_length_std,avg_training_length_ci95,avg_repeated_state_rate_mean,avg_repeated_state_rate_std,avg_repeated_state_rate_ci95,avg_unique_states_mean,avg_unique_states_std,avg_unique_states_ci95,training_time_mean,training_time_std,training_time_ci95,evaluation_return_mean_mean,evaluation_return_mean_std,evaluation_return_mean_ci95,evaluation_episode_length_mean_mean,evaluation_episode_length_mean_std,evaluation_episode_length_mean_ci95,evaluation_success_length_mean_mean,evaluation_success_length_mean_std,evaluation_success_length_mean_ci95,evaluation_failed_length_mean_mean,evaluation_failed_length_mean_std,evaluation_failed_length_mean_ci95,evaluation_repeated_state_rate_mean_mean,evaluation_repeated_state_rate_mean_std,evaluation_repeated_state_rate_mean_ci95,evaluation_inference_time_mean_mean,evaluation_inference_time_mean_std,evaluation_inference_time_mean_ci95,checkpoint_500_mean,checkpoint_500_std,checkpoint_500_ci95,checkpoint_1000_mean,checkpoint_1000_std,checkpoint_1000_ci95,checkpoint_2000_mean,checkpoint_2000_std,checkpoint_2000_ci95,checkpoint_5000_mean,checkpoint_5000_std,checkpoint_5000_ci95,checkpoint_10000_mean,checkpoint_10000_std,checkpoint_10000_ci95
combined,custom_loop,30,0.03333333333333333,0.18257418583505533,0.06533333333333333,69.05,378.2024259573172,135.338,66.07916666666667,361.93050164476784,129.51516666666666,0.006607916666666667,0.036193050164476784,0.012951516666666664,0.006906666666666667,0.03782937130502347,0.013537066666666667,4.162233333333334,1.1037569392395865,0.394974348101262,0.21747605802248357,0.008298308007051886,0.002969511383264197,3.696473333333334,0.8355613182201217,0.2990017776830365,0.22239008453131343,0.06350377850404762,0.022724535289339324,0.03333333333333333,0.18257418583505533,0.06533333333333333,2.4,2.1908902300206643,0.784,0.4666666666666667,2.556038601690775,0.9146666666666665,1.9333333333333333,0.36514837167011066,0.13066666666666665,0.0,0.0,0.0,1.119130508353313e-05,9.618123294623888e-06,3.441801218363188e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335e-05,0.00018257418583505534,6.533333333333333e-05,0.00012666666666666666,0.0006937819061732106,0.0002482666666666667,0.006906666666666667,0.03782937130502347,0.013537066666666667
combined,frozenlake_4x4,30,1.0,0.0,0.0,4082.483333333333,38.1816175605517,13.663116370367032,3990.259047635524,38.14208382934977,13.648969406344094,0.3990259047635524,0.0038142083829349853,0.0013648969406344121,0.40829666666666664,0.00381860087514762,0.001366468773785849,7.205146666666666,0.043727792261809346,0.015647789498305982,0.25844074367503295,0.0023688760335601137,0.0008476914018159696,5.727199999999999,0.01566615063958183,0.00560606000845433,0.37968935089884326,0.006271256786191259,0.0022441404197268127,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5486659867844237e-05,2.606823479538056e-07,9.328398018090387e-08,0.0188,0.00552361700587452,0.0019766009603159255,0.025366666666666673,0.0042139614692552445,0.001507946745403557,0.04363333333333333,0.004099901877154971,0.0014671310445613605,0.14703333333333332,0.004992707325367832,0.001786617371081828,0.40829666666666664,0.00381860087514762,0.001366468773785849
combined,frozenlake_8x8,30,0.9,0.3051285766293646,0.10918885884810646,3318.733333333333,1130.242884587609,404.4522219209165,3235.328516946107,1102.0839070715404,394.3756612287865,0.3235328516946106,0.11020839070715399,0.03943756612287863,0.33192,0.11304017717242137,0.040450907895254275,20.303596666666667,2.7952767364675686,1.0002769337147044,0.2974733116648168,0.013569102944277767,0.00485564112822459,13.219799999999998,1.6980822836567624,0.6076509412223473,1.0642089641594794,0.15504671905355638,0.05548275585529527,0.9,0.3051285766293646,0.10918885884810646,13.166666666666666,2.7926422210359574,0.9993341844751116,12.666666666666666,4.309839050785792,1.5422560973235937,0.5,1.5256428831468234,0.5459442942405325,0.0,0.0,0.0,5.5840098062374946e-05,1.252274248688e-05,4.4812058473697774e-06,0.0014000000000000004,0.0020443361623831797,0.0007315563004237303,0.0017999999999999997,0.0020744754218505624,0.0007423414959112309,0.0055333333333333345,0.004127145906474998,0.0014768801952464224,0.09031999999999998,0.03346271625720699,0.011974479225918513,0.33192,0.11304017717242137,0.040450907895254275
combined,frozenlake_8x8_stochastic,30,0.008133333333333334,0.005250506270061395,0.0018788695386574928,31.7,7.795445177617593,2.7895642307896673,31.169717020764505,7.672162534424381,2.7454481035008227,0.0031169717020764504,0.0007672162534424382,0.0002745448103500823,0.00317,0.0007795445177617593,0.0002789564230789668,21.930556666666668,0.32118274922899986,0.11493377073170882,0.43171088474878716,0.008760700702621358,0.003134976484326356,10.862163333333333,0.053109668470603964,0.01900505078274085,1.1570877228339669,0.022485156956966023,0.008046210080591346,0.008133333333333334,0.005250506270061395,0.0018788695386574928,14.568466666666668,1.0290748015214621,0.3682496883402582,27.56222222222222,11.550148597784654,4.1331675939683015,14.450530774085848,1.0289410211009382,0.3682018156315969,0.3413231662680875,0.035759304094112,0.012796302628780894,6.163193376269192e-05,4.432956545029029e-06,1.5863131268196754e-06,0.0024000000000000002,0.0024858218650634614,0.000889539930164083,0.0023666666666666675,0.001670914127951675,0.0005979289415616945,0.0022000000000000006,0.0009790917677394559,0.0003503634894115591,0.0024599999999999995,0.0005781063021207468,0.0002068726833741874,0.00317,0.0007795445177617593,0.0002789564230789668
ltm,custom_loop,30,0.03333333333333333,0.18257418583505533,0.06533333333333333,53.416666666666664,292.57513280067633,104.6966666666667,50.63216666666666,277.32379818694477,99.23904666666662,0.005063216666666666,0.02773237981869449,0.009923904666666667,0.005343333333333334,0.029266641989359365,0.010472933333333328,27.047349999999998,2.8243236787921826,1.0106712485326963,0.683653296519171,0.05878445555733159,0.021035747261748148,4.607476666666667,0.562922484210646,0.20143922391629074,1.447413602116285,0.16093891757417172,0.05759125201674779,0.03333333333333333,0.18257418583505533,0.06533333333333333,97.13333333333334,15.701379981814764,5.618666666666667,0.4666666666666667,2.556038601690775,0.9146666666666665,96.66666666666667,18.257418583505537,6.533333333333333,0.9666666666666667,0.18257418583505533,0.06533333333333333,0.0003916366578933473,6.311066047600056e-05,2.2583859809680082e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667e-05,9.128709291752767e-05,3.266666666666666e-05,9.333333333333333e-05,0.000511207720338155,0.00018293333333333333,0.005343333333333334,0.029266641989359365,0.010472933333333328
ltm,frozenlake_4x4,30,1.0,0.0,0.0,3861.1833333333334,46.28369850310622,16.562408800413987,3769.9940052576494,45.87897318187694,16.417579704233862,0.3769994005257649,0.004587897318187697,0.0016417579704233872,0.3861666666666667,0.004628199421487526,0.0016561798928703042,7.809966666666667,0.08414758518195285,0.030111826634978786,0.28952134658402856,0.004139565131518266,0.0014813243578523374,5.685723333333333,0.02406788793984743,0.008612583088958504,0.53444422550189,0.03609443457721717,0.012916227531979707,1.0,0.0,0.0,6.066666666666666,0.36514837167011066,0.13066666666666665,6.066666666666666,0.36514837167011066,0.13066666666666665,0.0,0.0,0.0,0.0,0.0,0.0,3.387728778179735e-05,3.111495986046962e-06,1.113434538907871e-06,0.0188,0.005108478415745527,0.0018280455237169584,0.024766666666666673,0.0040741686973801965,0.0014579225444425606,0.041550000000000004,0.0036891032458608005,0.0013201286422860115,0.12994,0.005659572300155696,0.002025251937556093,0.3861666666666667,0.004628199421487526,0.0016561798928703042
ltm,frozenlake_8x8,30,0.43333333333333335,0.5040069329937308,0.18035656467524525,1381.45,1625.951071018076,581.8391182775725,1342.0207945005184,1580.4689748170501,565.5635591769836,0.13420207945005186,0.15804689748170503,0.05655635591769837,0.13816666666666666,0.16262016953696085,0.05819288030499582,52.942883333333334,22.884202788915225,8.189006797634182,0.5849596638247603,0.19580607048232407,0.0700683024437487,11.807409999999999,2.251722365649353,0.8057685001646304,4.123570800370847,2.3403818197480653,0.8374948783559899,0.43333333333333335,0.5040069329937308,0.18035656467524525,62.93333333333333,43.11886804647352,15.429888766319612,6.266666666666667,7.32936151584059,2.6227783344329505,56.666666666666664,50.40069329937309,18.03565646752453,0.5666666666666667,0.5040069329937308,0.18035656467524525,0.00034735698745741195,0.00025790827434593215,9.2291290689312e-05,0.0009333333333333334,0.0016386144974533724,0.000586370667229333,0.0013666666666666664,0.0024280449540423615,0.0008688647280841893,0.006416666666666668,0.00862942373643736,0.0030879996252952745,0.03679333333333333,0.04489720007653755,0.01606625671048496,0.13816666666666666,0.16262016953696085,0.05819288030499582
ltm,frozenlake_8x8_stochastic,30,0.30326666666666663,0.14657513862987753,0.05245123973406012,538.8166666666667,149.71020761580624,53.573109762639746,515.7099316934148,143.31741441689348,51.28547809617313,0.05157099316934147,0.014331741441689347,0.005128547809617312,0.05389,0.014974376965912181,0.005358511978559701,48.23977666666666,0.9929740010081637,0.3553311827873082,0.5566318690339999,0.020106066232519385,0.007194863398585934,14.994126666666666,0.9490592754037468,0.33961650005145144,3.0907004442919668,0.5122268493732298,0.18329802397485903,0.30326666666666663,0.14657513862987753,0.05245123973406012,82.30619999999999,7.86704135509396,2.8151845938605016,62.788915335750524,17.282254227056423,6.18437525000257,88.42386345972432,7.101632904480302,2.541286697444464,0.6489863771891557,0.06297436370734676,0.022535086637405007,0.0004199163382834135,8.936006671695357e-05,3.19770891969475e-05,0.0022,0.0021237572430921115,0.0007599767691549343,0.002,0.0013896166675593023,0.0004972679381368264,0.0021,0.001275768868916526,0.00045652802661004266,0.004953333333333334,0.00241756978765059,0.000865116237932279,0.05389,0.014974376965912181,0.005358511978559701
qlearning,custom_loop,30,0.0,0.0,0.0,0.03333333333333333,0.18257418583505533,0.06533333333333333,0.03333333333333333,0.18257418583505533,0.06533333333333333,3.3333333333333333e-06,1.8257418583505542e-05,6.533333333333335e-06,3.3333333333333333e-06,1.8257418583505542e-05,6.533333333333335e-06,27.56593333333333,0.22858664898010558,0.08179868180740048,0.694410920310374,0.0016880405544769808,0.0006040575545847728,4.50557,0.01565437363145211,0.0056018456602194506,1.2312497894473684,0.032721393735179426,0.011709200368353784,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0002953028977848589,1.97651108246733e-05,7.072854072838559e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667e-05,9.128709291752767e-05,3.266666666666666e-05,6.666666666666667e-06,3.6514837167011085e-05,1.306666666666667e-05,3.3333333333333333e-06,1.8257418583505542e-05,6.533333333333335e-06
qlearning,frozenlake_4x4,30,1.0,0.0,0.0,4088.016666666667,53.03910127790456,18.97979863714348,3996.3217400778735,53.23125106654154,19.048558555932278,0.39963217400778733,0.005323125106654151,0.001904855855593227,0.40885,0.005301967754425281,0.0018972847943323084,7.099796666666665,0.0719446409944207,0.025745059139313346,0.25443188968655756,0.002106237697267997,0.0007537074801974606,5.682460000000001,0.029416188365099856,0.010526447816612319,0.3079036207384585,0.007626155101592001,0.0027289845551010266,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.799519067863002e-05,2.8222041918277153e-07,1.0099127998631222e-07,0.01806666666666667,0.00491256891385081,0.0017579402088176313,0.023000000000000007,0.0043943537440204105,0.0015724992918880773,0.04011666666666667,0.00489666201106169,0.0017522479967589045,0.14440666666666666,0.00691235442365052,0.002473554262958621,0.40885,0.005301967754425281,0.0018972847943323084
