final_success_rate,learning_curve_auc,rolling_auc,avg_training_return,avg_training_length,avg_repeated_state_rate,avg_unique_states,training_time,evaluation_return_mean,evaluation_episode_length_mean,evaluation_success_length_mean,evaluation_failed_length_mean,evaluation_repeated_state_rate_mean,evaluation_inference_time_mean,checkpoint_500,checkpoint_1000,checkpoint_2000,checkpoint_5000,checkpoint_10000,algorithm,environment,seed
1.0,3997.5,3907.0456965462326,0.3998,7.1096,0.25402923287376317,5.6867,0.31260431167902425,1.0,6.0,6.0,0.0,0.0,1.7959326971322297e-05,0.016,0.016,0.032,0.1378,0.3998,qlearning,frozenlake_4x4,21
1.0,4164.5,4071.646732722382,0.4165,6.9858,0.25011457876570364,5.6653,0.30423434916883707,1.0,6.0,6.0,0.0,0.0,1.8191264243796467e-05,0.016,0.021,0.0435,0.1508,0.4165,qlearning,frozenlake_4x4,22
1.0,4023.5,3928.36,0.4024,7.0382,0.25504553177101486,5.6602,0.3061064684879966,1.0,6.0,6.0,0.0,0.0,1.76574980141595e-05,0.018,0.025,0.039,0.1416,0.4024,qlearning,frozenlake_4x4,23
1.0,4057.5,3970.5952667412043,0.4058,7.1212,0.25384812485586383,5.6952,0.3117239103303291,1.0,6.0,6.0,0.0,0.0,1.8197580357082187e-05,0.024,0.023,0.04,0.145,0.4058,qlearning,frozenlake_4x4,24
1.0,4105.5,4010.1274999999996,0.4106,7.1757,0.2562421940252554,5.6955,0.3130255267606117,1.0,6.0,6.0,0.0,0.0,1.8569434992969035e-05,0.01,0.016,0.0415,0.1482,0.4106,qlearning,frozenlake_4x4,25
1.0,4039.5,3945.413912975552,0.404,7.1272,0.2574653695365296,5.6771,0.30883332213852555,1.0,6.0,6.0,0.0,0.0,1.793572388123721e-05,0.012,0.017,0.031,0.1452,0.404,qlearning,frozenlake_4x4,26
1.0,4179.5,4091.0198715857105,0.418,6.9821,0.2505128915832992,5.6589,0.30125891871284693,1.0,6.0,6.0,0.0,0.0,1.78795182146132e-05,0.016,0.021,0.0485,0.1574,0.418,qlearning,frozenlake_4x4,27
1.0,4109.5,4019.2479316796375,0.411,7.1315,0.2528449723273929,5.7092,0.31268162082415074,1.0,6.0,6.0,0.0,0.0,1.7990767140872777e-05,0.024,0.029,0.0445,0.1456,0.411,qlearning,frozenlake_4x4,28
1.0,4101.5,4008.393081521645,0.4102,6.9889,0.25341377768726553,5.6205,0.30238539981655777,1.0,6.0,6.0,0.0,0.0,1.792268524877727e-05,0.01,0.021,0.0375,0.1408,0.4102,qlearning,frozenlake_4x4,29
1.0,3416.5,3325.0775,0.3417,22.657,0.317494775936787,13.7507,0.9911802114802413,1.0,14.0,14.0,0.0,0.0,4.2004149756394324e-05,0.002,0.002,0.018,0.1122,0.3417,qlearning,frozenlake_8x8,0
