environment,method_a,method_b,metric,mean_difference,wilcoxon_statistic,raw_p_value,effect_size,adjusted_p_value,significant
frozenlake_8x8,stm,qlearning,evaluation_failed_length_mean,-81.6,0.0,6.378041312298736e-06,-1.0,0.0004783530984224052,True
frozenlake_8x8,ltm,qlearning,evaluation_failed_length_mean,-26.666666666666668,0.0,0.004677734981047257,-1.0,0.26195315893864635,False
frozenlake_8x8,combined,qlearning,evaluation_failed_length_mean,-82.83333333333333,0.0,1.819981745167761e-06,-1.0,0.00014559853961342088,True
frozenlake_8x8,combined,stm,evaluation_failed_length_mean,-1.2333333333333334,0.0,0.011412036386001646,-1.0,0.5934258920720856,False
frozenlake_8x8,combined,ltm,evaluation_failed_length_mean,-56.166666666666664,1.0,7.743506910491077e-05,-0.9941520467836258,0.0051881496300290215,True
frozenlake_8x8_stochastic,stm,qlearning,final_success_rate,-0.2578,15.0,7.665354230596538e-06,-0.967741935483871,0.0005595708588335473,True
frozenlake_8x8_stochastic,ltm,qlearning,final_success_rate,0.04106666666666667,161.5,0.3445891413501132,-0.39778325123152714,1.0,False
frozenlake_8x8_stochastic,combined,qlearning,final_success_rate,-0.2540666666666666,10.0,7.220715326908526e-06,-0.9770114942528736,0.0005343329341912309,True
frozenlake_8x8_stochastic,combined,stm,final_success_rate,0.003733333333333333,66.5,0.005470885459941301,-0.1894586894586895,0.30089870029677157,False
frozenlake_8x8_stochastic,combined,ltm,final_success_rate,-0.2951333333333333,3.0,2.3490918011717494e-06,-0.9935483870967742,0.00018322916049139646,True
frozenlake_8x8_stochastic,stm,qlearning,rolling_auc,-504.6989705279672,10.0,8.009374141693115e-08,-0.978494623655914,6.888061761856079e-06,True
frozenlake_8x8_stochastic,ltm,qlearning,rolling_auc,-13.026014031342148,70.0,0.00245690308530201,-0.8275862068965517,0.1474141851181206,False
frozenlake_8x8_stochastic,combined,qlearning,rolling_auc,-497.56622870399235,10.0,8.009374141693115e-08,-0.978494623655914,6.807968020439148e-06,True
frozenlake_8x8_stochastic,combined,stm,rolling_auc,7.132741823974848,81.0,0.0012321043759584427,-0.17419354838709677,0.075158366933465,False
frozenlake_8x8_stochastic,combined,ltm,rolling_auc,-484.5402146726503,3.0,9.313225746154785e-09,-0.9935483870967742,8.568167686462402e-07,True
frozenlake_8x8_stochastic,stm,qlearning,evaluation_repeated_state_rate_mean,-0.32553712998833,0.0,1.862645149230957e-09,-1.0,1.825392246246338e-07,True
frozenlake_8x8_stochastic,ltm,qlearning,evaluation_repeated_state_rate_mean,-0.005792136239736208,180.0,0.6004574855558895,-0.4433497536945813,1.0,False
frozenlake_8x8_stochastic,combined,qlearning,evaluation_repeated_state_rate_mean,-0.3134553471608045,0.0,1.862645149230957e-09,-1.0,1.8067657947540283e-07,True
frozenlake_8x8_stochastic,combined,stm,evaluation_repeated_state_rate_mean,0.012081782827525542,180.0,0.28936620615422726,-0.3870967741935484,1.0,False
frozenlake_8x8_stochastic,combined,ltm,evaluation_repeated_state_rate_mean,-0.30766321092106835,0.0,1.862645149230957e-09,-1.0,1.7881393432617188e-07,True
frozenlake_8x8_stochastic,stm,qlearning,evaluation_success_length_mean,-33.61918970010783,20.5,1.297043644144666e-05,-0.9559139784946237,0.0009209009873427129,True
frozenlake_8x8_stochastic,ltm,qlearning,evaluation_success_length_mean,5.897106588023635,109.0,0.03231326680260798,-0.26847290640394084,1.0,False
frozenlake_8x8_stochastic,combined,qlearning,evaluation_success_length_mean,-29.329586525504666,27.0,2.348795533180237e-06,-0.9419354838709677,0.0001855548471212387,True
frozenlake_8x8_stochastic,combined,stm,evaluation_success_length_mean,4.289603174603174,135.0,0.07442915281686206,-0.31034482758620685,1.0,False
frozenlake_8x8_stochastic,combined,ltm,evaluation_success_length_mean,-35.226693113528306,14.0,2.0489096641540527e-07,-0.9698924731182795,1.7005950212478638e-05,True
frozenlake_8x8_stochastic,stm,qlearning,evaluation_failed_length_mean,-71.75204042182914,0.0,1.862645149230957e-09,-1.0,1.7695128917694092e-07,True
frozenlake_8x8_stochastic,ltm,qlearning,evaluation_failed_length_mean,2.800985875731264,119.0,0.055773716812032845,-0.2931034482758621,1.0,False
frozenlake_8x8_stochastic,combined,qlearning,evaluation_failed_length_mean,-71.17234680990718,0.0,1.862645149230957e-09,-1.0,1.7508864402770996e-07,True
frozenlake_8x8_stochastic,combined,stm,evaluation_failed_length_mean,0.5796936119219539,136.0,0.047259049490094185,-0.2924731182795699,1.0,False
frozenlake_8x8_stochastic,combined,ltm,evaluation_failed_length_mean,-73.97333268563847,0.0,1.862645149230957e-09,-1.0,1.73225998878479e-07,True
custom_loop,stm,qlearning,final_success_rate,0.0,0.0,1.0,0.0,1.0,False
custom_loop,ltm,qlearning,final_success_rate,0.03333333333333333,0.0,0.31731050786291415,0.0,1.0,False
custom_loop,combined,qlearning,final_success_rate,0.03333333333333333,0.0,0.31731050786291415,0.0,1.0,False
custom_loop,combined,stm,final_success_rate,0.03333333333333333,0.0,0.31731050786291415,0.0,1.0,False
custom_loop,combined,ltm,final_success_rate,0.0,1.5,1.0,-0.5,1.0,False
custom_loop,stm,qlearning,rolling_auc,0.0,1.5,1.0,-0.5,1.0,False
custom_loop,ltm,qlearning,rolling_auc,50.59883333333333,0.0,0.31731050786291415,0.0,1.0,False
custom_loop,combined,qlearning,rolling_auc,66.04583333333333,1.0,0.6547208460185769,-0.33333333333333337,1.0,False
custom_loop,combined,stm,rolling_auc,66.04583333333333,0.0,0.31731050786291415,0.0,1.0,False
custom_loop,combined,ltm,rolling_auc,15.447000000000003,1.0,0.6547208460185769,-0.33333333333333337,1.0,False
custom_loop,stm,qlearning,evaluation_repeated_state_rate_mean,-1.0,0.0,4.3204630578274876e-08,-1.0,3.9316213826230135e-06,True
custom_loop,ltm,qlearning,evaluation_repeated_state_rate_mean,-0.03333333333333333,0.0,0.31731050786291415,-1.0,1.0,False
custom_loop,combined,qlearning,evaluation_repeated_state_rate_mean,-1.0,0.0,4.3204630578274876e-08,-1.0,3.888416752044739e-06,True
custom_loop,combined,stm,evaluation_repeated_state_rate_mean,0.0,0.0,1.0,0.0,1.0,False
custom_loop,combined,ltm,evaluation_repeated_state_rate_mean,-0.9666666666666667,0.0,7.237829871739994e-08,-1.0,6.296911988413795e-06,True
custom_loop,stm,qlearning,evaluation_success_length_mean,0.0,0.0,1.0,0.0,1.0,False
custom_loop,ltm,qlearning,evaluation_success_length_mean,0.4666666666666667,0.0,0.31731050786291415,0.0,1.0,False
custom_loop,combined,qlearning,evaluation_success_length_mean,0.4666666666666667,0.0,0.31731050786291415,0.0,1.0,False
custom_loop,combined,stm,evaluation_success_length_mean,0.4666666666666667,0.0,0.31731050786291415,0.0,1.0,False
custom_loop,combined,ltm,evaluation_success_length_mean,0.0,1.5,1.0,-0.5,1.0,False
custom_loop,stm,qlearning,evaluation_failed_length_mean,-98.0,0.0,4.3204630578274876e-08,-1.0,3.845212121466464e-06,True
custom_loop,ltm,qlearning,evaluation_failed_length_mean,-3.3333333333333335,0.0,0.31731050786291415,-1.0,1.0,False
custom_loop,combined,qlearning,evaluation_failed_length_mean,-98.06666666666666,0.0,6.798849974791909e-08,-1.0,5.98298797781688e-06,True
custom_loop,combined,stm,evaluation_failed_length_mean,-0.06666666666666667,0.0,0.31731050786291415,-1.0,1.0,False
custom_loop,combined,ltm,evaluation_failed_length_mean,-94.73333333333333,1.0,1.150327445849852e-07,-0.9978494623655914,9.662750545138758e-06,True
